ticker,entry_date,exit_date,entry_price,exit_price,quantity,pnl,pnl_pct,reason,score,holding_days
IBM,2025-04-24 12:01:37.479147,2025-05-15 12:01:37.479147,225.15579556274412,263.3048356781006,4,151.54294111871332,0.16943396913238892,TAKE_PROFIT,7,21
DASH,2025-05-07 12:01:37.479147,2025-05-16 12:01:37.479147,177.07850049591065,201.899,5,123.0930025204467,0.14016664606137516,TAKE_PROFIT,7,9
DOCU,2025-06-03 12:01:37.479147,2025-06-06 12:01:37.479147,91.65580561065673,75.24235877990724,10,-164.88689189529396,-0.17907700141191185,STOP_LOSS,7,3
LI,2025-06-09 12:01:37.479147,2025-06-17 12:01:37.479147,30.16507461833954,26.92653053379059,33,-107.76053029773038,-0.10736071849727838,STOP_LOSS,7,8
COIN,2025-06-18 12:01:37.479147,2025-06-24 12:01:37.479147,295.4376535491943,344.64759732055666,3,146.5958885221255,0.16656625579098114,TAKE_PROFIT,6,6
UBER,2025-05-29 12:01:37.479147,2025-07-07 12:01:37.479147,84.34215305328368,96.6316603050232,11,134.12163150577942,0.14571014382304837,TAKE_PROFIT,8,39
MSTR,2025-05-23 12:01:37.479147,2025-07-10 12:01:37.479147,369.6947647705078,421.52912023925785,2,102.82565269702161,0.14020851904929416,TAKE_PROFIT,8,48
OKTA,2025-05-28 12:01:37.479147,2025-07-10 12:01:37.479147,105.27761097335815,94.36279866027833,9,-99.08257600566083,-0.10367648175300971,STOP_LOSS,8,43
LI,2025-07-07 12:01:37.479147,2025-07-17 12:01:37.479147,26.753369771003722,31.34432061004639,37,168.705441182007,0.17160271316619358,TAKE_PROFIT,7,10
RWE.DE,2025-05-13 12:01:37.479147,2025-07-21 12:01:37.479147,32.33615969467163,37.12142938995362,30,142.44444797676113,0.14798509595654025,TAKE_PROFIT,7,69
CDNS,2025-05-28 12:01:37.479147,2025-07-25 12:01:37.479147,288.75429034423826,332.02390744018555,3,128.81277956552128,0.1498492612676454,TAKE_PROFIT,8,58
ZM,2025-05-23 12:01:37.479147,2025-08-01 12:01:37.479147,79.31963877868652,70.93451622009277,12,-101.47268489776616,-0.10571307040352865,STOP_LOSS,8,70
GILD,2025-04-25 12:01:37.479147,2025-08-08 12:01:37.479147,101.11910728454589,117.74948356246949,9,148.61364114925027,0.16446324265033574,TAKE_PROFIT,10,105
SAP.DE,2025-05-23 12:01:37.479147,2025-08-12 12:01:37.479147,260.6802627868652,231.88400000000001,3,-87.08444036059564,-0.11046583457839047,STOP_LOSS,7,81
UPST,2025-08-12 12:01:37.479147,2025-08-28 12:01:37.479147,63.441704847335814,73.72312213516236,15,153.1154124853706,0.16206086063682293,TAKE_PROFIT,10,16
