date,portfolio_value,cash,open_positions
2025-02-06 12:01:37.479147,10000.0,10000.0,0
2025-02-07 12:01:37.479147,10000.0,10000.0,0
2025-02-10 12:01:37.479147,10000.0,10000.0,0
2025-02-11 12:01:37.479147,10000.0,10000.0,0
2025-02-12 12:01:37.479147,10000.0,10000.0,0
2025-02-13 12:01:37.479147,10000.0,10000.0,0
2025-02-14 12:01:37.479147,10000.0,10000.0,0
2025-02-17 12:01:37.479147,10000.0,10000.0,0
2025-02-18 12:01:37.479147,10000.0,10000.0,0
2025-02-19 12:01:37.479147,10000.0,10000.0,0
2025-02-20 12:01:37.479147,10000.0,10000.0,0
2025-02-21 12:01:37.479147,10000.0,10000.0,0
2025-02-24 12:01:37.479147,10000.0,10000.0,0
2025-02-25 12:01:37.479147,10000.0,10000.0,0
2025-02-26 12:01:37.479147,10000.0,10000.0,0
2025-02-27 12:01:37.479147,10000.0,10000.0,0
2025-02-28 12:01:37.479147,10000.0,10000.0,0
2025-03-03 12:01:37.479147,10000.0,10000.0,0
2025-03-04 12:01:37.479147,10000.0,10000.0,0
2025-03-05 12:01:37.479147,10000.0,10000.0,0
2025-03-06 12:01:37.479147,10000.0,10000.0,0
2025-03-07 12:01:37.479147,10000.0,10000.0,0
2025-03-10 12:01:37.479147,10000.0,10000.0,0
2025-03-11 12:01:37.479147,10000.0,10000.0,0
2025-03-12 12:01:37.479147,10000.0,10000.0,0
2025-03-13 12:01:37.479147,10000.0,10000.0,0
2025-03-14 12:01:37.479147,10000.0,10000.0,0
2025-03-17 12:01:37.479147,10000.0,10000.0,0
2025-03-18 12:01:37.479147,10000.0,10000.0,0
2025-03-19 12:01:37.479147,10000.0,10000.0,0
2025-03-20 12:01:37.479147,10000.0,10000.0,0
2025-03-21 12:01:37.479147,10000.0,10000.0,0
2025-03-24 12:01:37.479147,10000.0,10000.0,0
2025-03-25 12:01:37.479147,10000.0,10000.0,0
2025-03-26 12:01:37.479147,10000.0,10000.0,0
2025-03-27 12:01:37.479147,10000.0,10000.0,0
2025-03-28 12:01:37.479147,10000.0,10000.0,0
2025-03-31 12:01:37.479147,10000.0,10000.0,0
2025-04-01 12:01:37.479147,10000.0,10000.0,0
2025-04-02 12:01:37.479147,10000.0,10000.0,0
2025-04-03 12:01:37.479147,10000.0,10000.0,0
2025-04-04 12:01:37.479147,10000.0,10000.0,0
2025-04-07 12:01:37.479147,10000.0,10000.0,0
2025-04-08 12:01:37.479147,10000.0,10000.0,0
2025-04-09 12:01:37.479147,10000.0,10000.0,0
2025-04-10 12:01:37.479147,10000.0,10000.0,0
2025-04-11 12:01:37.479147,10000.0,10000.0,0
2025-04-14 12:01:37.479147,10000.0,10000.0,0
2025-04-15 12:01:37.479147,10000.0,10000.0,0
2025-04-16 12:01:37.479147,10000.0,10000.0,0
2025-04-17 12:01:37.479147,10000.0,10000.0,0
2025-04-18 12:01:37.479147,10000.0,10000.0,0
2025-04-21 12:01:37.479147,10000.0,10000.0,0
2025-04-22 12:01:37.479147,10000.0,10000.0,0
2025-04-23 12:01:37.479147,10000.0,10000.0,0
2025-04-24 12:01:37.479147,9998.649290269897,9098.476194566772,1
2025-04-25 12:01:37.479147,10009.374131405533,8187.494157040299,2
2025-04-28 12:01:37.479147,10052.042542660416,8187.494157040299,2
2025-04-29 12:01:37.479147,10045.94165917653,8187.494157040299,2
2025-04-30 12:01:37.479147,10076.02278252858,8187.494157040299,2
2025-05-01 12:01:37.479147,10038.537408077897,8187.494157040299,2
2025-05-02 12:01:37.479147,10065.448144161881,8187.494157040299,2
2025-05-05 12:01:37.479147,10072.026223385514,8187.494157040299,2
2025-05-06 12:01:37.479147,10028.324448788346,8187.494157040299,2
2025-05-07 12:01:37.479147,10052.67183609391,7301.216262058266,3
2025-05-08 12:01:37.479147,10079.019866184242,7301.216262058266,3
2025-05-09 12:01:37.479147,10057.917647556313,7301.216262058266,3
2025-05-12 12:01:37.479147,10179.482474521645,7301.216262058266,3
2025-05-13 12:01:37.479147,10203.98548453244,5774.929484776581,5
2025-05-14 12:01:37.479147,10169.25201743039,5774.929484776581,5
2025-05-15 12:01:37.479147,10236.961574943147,6827.095608146271,4
2025-05-16 12:01:37.479147,10268.891194628204,7835.581113146271,3
2025-05-19 12:01:37.479147,10320.760297106232,7835.581113146271,3
2025-05-20 12:01:37.479147,10382.269322679962,7835.581113146271,3
2025-05-21 12:01:37.479147,10366.614217089142,7835.581113146271,3
2025-05-22 12:01:37.479147,10336.873791979278,7835.581113146271,3
2025-05-23 12:01:37.479147,10316.144848771515,4509.367627091828,7
2025-05-26 12:01:37.479147,7733.667591996613,4509.367627091828,7
2025-05-27 12:01:37.479147,10392.22956556839,4509.367627091828,7
2025-05-28 12:01:37.479147,10349.668457232809,2693.7924959290967,9
2025-05-29 12:01:37.479147,10374.782780837124,1765.10104865939,10
2025-05-30 12:01:37.479147,10374.461537550991,1765.10104865939,10
2025-06-02 12:01:37.479147,10404.805897902554,1765.10104865939,10
2025-06-03 12:01:37.479147,10430.764259508924,847.6264344967161,11
2025-06-04 12:01:37.479147,10487.831108263807,847.6264344967161,11
2025-06-05 12:01:37.479147,10484.667251757459,847.6264344967161,11
2025-06-06 12:01:37.479147,10356.081808913068,1599.2975987079894,10
2025-06-09 12:01:37.479147,10389.49988956975,602.8546888403795,11
2025-06-10 12:01:37.479147,10297.018343167772,602.8546888403795,11
2025-06-11 12:01:37.479147,10296.648197370043,602.8546888403795,11
2025-06-12 12:01:37.479147,10267.254169660082,602.8546888403795,11
2025-06-13 12:01:37.479147,10126.478512006273,602.8546888403795,11
2025-06-16 12:01:37.479147,10224.106050687304,602.8546888403795,11
2025-06-17 12:01:37.479147,10094.504442908303,1490.541620947854,10
2025-06-18 12:01:37.479147,10023.605294422143,603.3423473396234,11
2025-06-19 12:01:37.479147,3782.192322925561,603.3423473396234,11
2025-06-20 12:01:37.479147,10081.17476005935,603.3423473396234,11
2025-06-23 12:01:37.479147,10043.513550952905,603.3423473396234,11
2025-06-24 12:01:37.479147,10296.917908255544,700.1486592931415,11
2025-06-25 12:01:37.479147,10272.731438223806,700.1486592931415,11
2025-06-26 12:01:37.479147,10329.027382437673,700.1486592931415,11
2025-06-27 12:01:37.479147,10447.939102713552,700.1486592931415,11
2025-06-30 12:01:37.479147,10501.145081107106,700.1486592931415,11
2025-07-01 12:01:37.479147,10420.231140677419,700.1486592931415,11
2025-07-02 12:01:37.479147,10500.497749869313,700.1486592931415,11
2025-07-03 12:01:37.479147,10632.458801810231,700.1486592931415,11
2025-07-04 12:01:37.479147,4952.408630911794,700.1486592931415,11
2025-07-07 12:01:37.479147,10582.205926736557,771.1694181763766,11
2025-07-08 12:01:37.479147,10610.722812494003,771.1694181763766,11
2025-07-09 12:01:37.479147,10771.719627221786,771.1694181763766,11
2025-07-10 12:01:37.479147,10713.007154891071,695.200746962605,11
2025-07-11 12:01:37.479147,10606.912542769489,695.200746962605,11
2025-07-14 12:01:37.479147,10650.794807860431,695.200746962605,11
2025-07-15 12:01:37.479147,10626.294546553669,695.200746962605,11
2025-07-16 12:01:37.479147,10627.187126586017,695.200746962605,11
2025-07-17 12:01:37.479147,10774.425577789945,858.9904524389932,11
2025-07-18 12:01:37.479147,10766.854686409635,858.9904524389932,11
2025-07-21 12:01:37.479147,10801.237669733382,1971.5196912559031,10
2025-07-22 12:01:37.479147,10791.836594370223,1971.5196912559031,10
2025-07-23 12:01:37.479147,10824.565169277708,1002.2524518399639,11
2025-07-24 12:01:37.479147,10775.17444509558,1002.2524518399639,11
2025-07-25 12:01:37.479147,10833.982067413794,1231.7811110691891,11
2025-07-28 12:01:37.479147,10777.201690025793,1231.7811110691891,11
2025-07-29 12:01:37.479147,10783.959969826208,1231.7811110691891,11
2025-07-30 12:01:37.479147,10798.447852440344,1231.7811110691891,11
2025-07-31 12:01:37.479147,10679.330981560217,1231.7811110691891,11
2025-08-01 12:01:37.479147,10469.421271508887,1347.7838251053831,11
2025-08-04 12:01:37.479147,10585.188724702552,1347.7838251053831,11
2025-08-05 12:01:37.479147,10549.19712657328,1347.7838251053831,11
2025-08-06 12:01:37.479147,10527.94240302439,1347.7838251053831,11
2025-08-07 12:01:37.479147,10631.575363343909,1347.7838251053831,11
2025-08-08 12:01:37.479147,10692.596426232103,1421.353450043444,11
2025-08-11 12:01:37.479147,10672.14544604564,1421.353450043444,11
2025-08-12 12:01:37.479147,10673.343759085343,1163.7325997606968,11
2025-08-13 12:01:37.479147,10762.985538031266,1163.7325997606968,11
2025-08-14 12:01:37.479147,10700.529599692032,1163.7325997606968,11
2025-08-15 12:01:37.479147,10720.062443281815,1163.7325997606968,11
2025-08-18 12:01:37.479147,10750.715693022416,1163.7325997606968,11
2025-08-19 12:01:37.479147,10625.62267544429,1163.7325997606968,11
2025-08-20 12:01:37.479147,10644.739607359574,1163.7325997606968,11
2025-08-21 12:01:37.479147,10581.359580542252,1163.7325997606968,11
2025-08-22 12:01:37.479147,10837.662565733597,1163.7325997606968,11
2025-08-25 12:01:37.479147,10801.526586081192,1163.7325997606968,11
2025-08-26 12:01:37.479147,10820.945609594986,1163.7325997606968,11
2025-08-27 12:01:37.479147,10788.992612387345,1163.7325997606968,11
2025-08-28 12:01:37.479147,10946.473023465587,1280.2729645285153,11
2025-08-29 12:01:37.479147,10824.327835133983,1280.2729645285153,11
2025-09-01 12:01:37.479147,5449.48798375459,1280.2729645285153,11
2025-09-02 12:01:37.479147,10726.964985898449,1280.2729645285153,11
2025-09-03 12:01:37.479147,10677.838612194078,1135.886760826129,11
2025-09-04 12:01:37.479147,10604.027769125232,845.9497890837279,11
2025-09-05 12:01:37.479147,10672.693822420368,845.9497890837279,11
2025-09-08 12:01:37.479147,10737.301758325824,845.9497890837279,11
2025-09-09 12:01:37.479147,10732.662807501087,845.9497890837279,11
2025-09-10 12:01:37.479147,10376.197380016225,638.7022618750508,11
2025-09-11 12:01:37.479147,10348.920200775045,638.7022618750508,11
2025-09-12 12:01:37.479147,10253.078226516622,638.7022618750508,11
2025-09-15 12:01:37.479147,10340.018070171254,638.7022618750508,11
2025-09-16 12:01:37.479147,10305.513262699025,638.7022618750508,11
2025-09-17 12:01:37.479147,10300.186250636953,638.7022618750508,11
2025-09-18 12:01:37.479147,10392.342782767304,791.3049323873612,11
2025-09-19 12:01:37.479147,10392.702181423709,773.7431746373612,11
2025-09-22 12:01:37.479147,10352.192270840213,773.7431746373612,11
2025-09-23 12:01:37.479147,10269.09435995917,773.7431746373612,11
2025-09-24 12:01:37.479147,10180.466341103122,773.7431746373612,11
2025-09-25 12:01:37.479147,10197.781194771334,773.7431746373612,11
2025-09-26 12:01:37.479147,10318.820155228183,773.7431746373612,11
2025-09-29 12:01:37.479147,10369.248087013766,773.7431746373612,11
2025-09-30 12:01:37.479147,10309.66510208945,773.7431746373612,11
2025-10-01 12:01:37.479147,10366.431082333133,773.7431746373612,11
2025-10-02 12:01:37.479147,10435.53542080507,747.9244355259868,11
2025-10-03 12:01:37.479147,10408.330418974016,747.9244355259868,11
2025-10-06 12:01:37.479147,10476.59740057573,747.9244355259868,11
2025-10-07 12:01:37.479147,10410.719654219687,651.7675177031158,11
2025-10-08 12:01:37.479147,10470.175898973532,1798.8847979946809,10
2025-10-09 12:01:37.479147,10515.60986561019,1798.8847979946809,10
2025-10-10 12:01:37.479147,10363.108458693478,809.4623724775053,11
2025-10-13 12:01:37.479147,10441.084454710934,809.4623724775053,11
2025-10-14 12:01:37.479147,10376.455464537594,809.4623724775053,11
2025-10-15 12:01:37.479147,10371.386313612911,809.4623724775053,11
2025-10-16 12:01:37.479147,10293.223445113155,809.4623724775053,11
2025-10-17 12:01:37.479147,10252.671351607296,809.4623724775053,11
2025-10-20 12:01:37.479147,10377.32241934106,809.4623724775053,11
2025-10-21 12:01:37.479147,10416.340443308804,809.4623724775053,11
2025-10-22 12:01:37.479147,10238.57390009617,831.6838158295066,11
2025-10-23 12:01:37.479147,10290.25172507023,831.6838158295066,11
2025-10-24 12:01:37.479147,10360.526802890054,831.6838158295066,11
2025-10-27 12:01:37.479147,10495.430674525642,1058.5707273210514,11
2025-10-28 12:01:37.479147,10514.695754023933,1058.5707273210514,11
2025-10-29 12:01:37.479147,10539.29065892353,1058.5707273210514,11
2025-10-30 12:01:37.479147,10359.170779200935,1058.5707273210514,11
2025-10-31 12:01:37.479147,10508.110836955451,1058.5707273210514,11
2025-11-03 12:01:37.479147,10514.150720569038,1058.5707273210514,11
