trial,value,state,STOP_LOSS_PCT,total_trades,win_rate,sharpe_ratio,max_drawdown_pct,final_capital
0,343.77298013575637,TrialState.COMPLETE,0.025886425578927532,180.0,41.11111111111111,1.2569421787996793,74.08380380543895,11375.091920543025
1,260.6563193384495,TrialState.COMPLETE,0.09230945183570899,117.0,52.13675213675214,1.329469874824263,86.48116201268888,11042.625277353798
2,330.285586970469,TrialState.COMPLETE,0.1319135330924827,98.0,53.06122448979592,1.2688134040772803,78.82114646863644,11321.142347881876
3,369.50590104210505,TrialState.COMPLETE,0.10601337473224755,114.0,50.877192982456144,1.356388334532128,82.22569360750074,11478.02360416842
4,252.53187855181477,TrialState.COMPLETE,0.11066770998708789,111.0,47.74774774774775,1.3542733624515964,84.24202579467415,11010.127514207259
5,276.4197459743409,TrialState.COMPLETE,0.14000941187620572,96.0,53.125,1.4289739486322424,85.06957282797069,11105.678983897364
6,228.03824167560242,TrialState.COMPLETE,0.08027868676418758,131.0,47.32824427480916,1.3846565783762128,83.6866616611934,10912.15296670241
7,314.1717491525269,TrialState.COMPLETE,0.049207952518643516,155.0,45.806451612903224,1.2483954119574832,88.72162079077258,11256.686996610108
8,175.5839532066575,TrialState.COMPLETE,0.08576144550659587,121.0,49.586776859504134,1.3522040627678227,85.21170922920143,10702.33581282663
9,260.3418638948956,TrialState.COMPLETE,0.03128595257083051,173.0,41.61849710982659,1.3157710480532665,75.28894176991479,11041.367455579582
10,-1000.0,TrialState.COMPLETE,0.18613397858612718,0.0,0.0,0.0,0.0,10000.0
11,211.3987779908539,TrialState.COMPLETE,0.179783518864524,74.0,52.702702702702695,1.2305104963180513,86.08641962643576,10845.595111963416
13,396.5831206617481,TrialState.COMPLETE,0.020072427406260612,184.0,39.130434782608695,1.2223991786346529,75.1501990219584,11586.332482646993
14,339.16498891293986,TrialState.COMPLETE,0.05814041369766531,138.0,50.0,1.2381846421711835,82.64123147407628,11356.65995565176
15,323.2107041799486,TrialState.COMPLETE,0.15349939550293012,95.0,55.78947368421052,1.2069825560926173,83.14867754821174,11292.842816719794
16,442.75068412181145,TrialState.COMPLETE,0.05483770887021112,138.0,49.275362318840585,1.2458413989368422,85.7114900336513,11771.002736487246
17,458.1526107987256,TrialState.COMPLETE,0.05458511374427787,138.0,49.275362318840585,1.244520568334193,85.20842283811699,11832.610443194902
18,337.90616843584394,TrialState.COMPLETE,0.06227830068950053,134.0,50.0,1.2649004893523355,82.51054677032461,11351.624673743376
19,411.1307506513858,TrialState.COMPLETE,0.0677291239030628,130.0,50.76923076923077,1.2334448180457054,80.68897390734551,11644.523002605543
20,484.1989408290424,TrialState.COMPLETE,0.047483863066679885,149.0,48.322147651006716,1.2359860490992178,85.75247160031712,11936.79576331617
21,349.1669548237737,TrialState.COMPLETE,0.03911214436234098,167.0,44.31137724550898,1.2924556356589378,83.47783165384331,11396.667819295095
22,428.19490634554586,TrialState.COMPLETE,0.045780834957979286,156.0,46.794871794871796,1.2628923859316095,87.12921860389187,11712.779625382183
23,327.7913247168176,TrialState.COMPLETE,0.07329205585593745,131.0,50.38167938931297,1.210622953601295,82.58139684170128,11311.16529886727
24,431.97470043619296,TrialState.COMPLETE,0.052625510042266815,139.0,49.64028776978417,1.246191457511084,85.75213158793635,11727.898801744772
25,266.2619025861304,TrialState.COMPLETE,0.09942104798799521,111.0,50.45045045045045,1.3321419458805923,81.26437899723584,11065.047610344522
26,344.4744557047775,TrialState.COMPLETE,0.03925671681936174,165.0,44.24242424242424,1.2931626872989728,83.64819237452254,11377.89782281911
27,332.8686683275696,TrialState.COMPLETE,0.0701387993976314,131.0,50.38167938931297,1.2105335834885496,82.56279090081058,11331.474673310278
28,299.40064283314314,TrialState.COMPLETE,0.12087489947134306,106.0,53.77358490566038,1.1572293832759346,80.15200473309773,11197.602571332573
29,357.46202420117106,TrialState.COMPLETE,0.03383668174091766,171.0,42.69005847953216,1.2901015695578093,83.02834092371799,11429.848096804684
30,348.3972736762903,TrialState.COMPLETE,0.026970728813392665,178.0,41.01123595505618,1.2858835236304633,76.11075435225449,11393.589094705161
31,232.06867976573767,TrialState.COMPLETE,0.08202628687394321,125.0,50.4,1.234437349165824,84.18624394336538,10928.27471906295
32,477.6530492102452,TrialState.COMPLETE,0.05387494236374981,139.0,49.64028776978417,1.2439280680582154,85.20842326342635,11910.61219684098
33,386.5472478349293,TrialState.COMPLETE,0.05726673759689267,140.0,49.28571428571429,1.2750295162514536,82.36054368704029,11546.188991339717
34,428.19489491861486,TrialState.COMPLETE,0.04561169867431733,156.0,46.794871794871796,1.2628923861416022,87.12921893029109,11712.77957967446
35,316.71459144248456,TrialState.COMPLETE,0.0744567731032722,132.0,50.0,1.2229460688645033,82.88840204939522,11266.858365769938
36,281.5783146451013,TrialState.COMPLETE,0.09585096904634038,113.0,51.32743362831859,1.2922847262493047,80.9013779711963,11126.313258580405
37,343.5265166592517,TrialState.COMPLETE,0.06003583427396931,135.0,49.629629629629626,1.259311818190912,82.27661060287834,11374.106066637007
38,396.58315498831826,TrialState.COMPLETE,0.020377678796548726,184.0,39.130434782608695,1.2223991667323106,75.15019814715933,11586.332619953273
39,291.85375739005804,TrialState.COMPLETE,0.11193162597908785,110.0,52.72727272727272,1.152920346606481,80.32840356046461,11167.415029560232
40,392.34669999404923,TrialState.COMPLETE,0.04079978116908472,160.0,45.0,1.254489951904462,81.50055401083233,11569.386799976197
41,268.7298031461737,TrialState.COMPLETE,0.08045226675791764,126.0,50.79365079365079,1.2366509240520267,84.18624394336538,11074.919212584695
42,343.52656241275326,TrialState.COMPLETE,0.0603551021036084,135.0,49.629629629629626,1.259311808878986,82.27660935611462,11374.106249651013
43,396.3383910108105,TrialState.COMPLETE,0.05183472954902737,144.0,48.61111111111111,1.2404722235619428,86.86630265690053,11585.353564043242
44,458.1525497635389,TrialState.COMPLETE,0.05407282392948017,138.0,49.275362318840585,1.244520576126518,85.20842453680649,11832.610199054156
45,182.18330098072738,TrialState.COMPLETE,0.08893470358576691,120.0,50.0,1.2611017406379093,85.79485282108095,10728.73320392291
46,357.6117855180769,TrialState.COMPLETE,0.03362493991412835,171.0,42.69005847953216,1.2900659032423922,83.02422435201964,11430.447142072308
47,411.13073536970114,TrialState.COMPLETE,0.06726162553179885,130.0,50.76923076923077,1.2334448211427878,80.68897431020879,11644.522941478805
48,321.25603761636967,TrialState.COMPLETE,0.15309829207036946,96.0,55.208333333333336,1.1733962704202983,77.98682890338475,11285.024150465479
49,451.7824470271412,TrialState.COMPLETE,0.05028282101205929,147.0,48.97959183673469,1.239062643819387,86.97065514912865,11807.129788108565
50,479.6644339323484,TrialState.COMPLETE,0.047774629973757934,149.0,48.322147651006716,1.2359265495239442,85.76340943964868,11918.657735729394
51,409.9700159682143,TrialState.COMPLETE,0.028184252888502785,176.0,42.04545454545455,1.2656145735236637,74.53880174640037,11639.880063872857
